function,module,signature,description
nb.AboutDatesλ,Dates,AboutDatesλ,Displays this module's repository URL and function list
nb.AboutEssentialsλ,Essentials,AboutEssentialsλ,Displays this module's repository URL and function list
nb.AboutFinancialλ,Financial,AboutFinancialλ,Displays this module's repository URL and function list
nb.AboutRatiosλ,Ratios,AboutRatiosλ,Displays this module's repository URL and function list
nb.AboutUtilitiesλ,Utilities,AboutUtilitiesλ,Displays this module's repository URL and function list
nb.Allocateλ,Financial,"Allocateλ(Amounts, [FromInterval], [ToInterval])",→Divide one or more amounts equally across smaller periods
nb.AmortiseBλ,Debt,AmortiseBλ,Creates an amortisation schedule for a debt/loan
nb.Amortiseλ,Financial,"Amortiseλ( Principals, APRs, Terms, StartDates, [Timeline])",Creates a corkscrew amortisation schedule
nb.AmortiseλDV,Financial,AmortiseλDV,Provides extended data validation of arguments for Amortiseλ()
nb.AssetTurnoverRatioλ,Ratios,"AssetTurnoverRatioλ( NetSales, TotalAssets)",Measures the value of a company's sales or revenues relative to the value of its assets._x000a_(Net Sales/Total Assets)
nb.AvgColsUλ,Utilities,AvgColsUλ( Array),Get the average for each Column
nb.AvgColsλ,Essentials,AvgColsλ( Array),Get the average for each Column
nb.AvgRowsUλ,Utilities,AvgRowsUλ( Array),Get the average for each row
nb.AvgRowsλ,Essentials,AvgRowsλ( Array),Get the average for each row
nb.BVPSλ,Ratios,"BVPSλ( ShareholdersEquity, PreferredStock, AverageSharesOutstanding )",Book value per share ratio is an indicator of the value of a company’s stock _x000a_(Shareholders' Equity - Preferred Stock)/Average Shares Outstanding)
nb.CAPERatioλ,Ratios,"CAPERatioλ( SharePrice, TenYearAverageEarningsInflationAdjusted )",CAPE Ratio is a valuation measure that uses real earnings per share (EPS) over a 10-year period_x000a_to smooth out fluctuations in corporate profits that occur over different periods of a business_x000a_cycle (aka Shiller PE Ratio) (Share Price/Ten Year Average Earn
nb.CashFlowMarginλ,Ratios,"CashFlowMarginλ( CashFlowFromOperatingActivities, Revenue)",Cash Flow Margin is a trusted metric of a company’s profitability and efficiency _x000a_and its earnings quality (Cash Flow From Operating Activities/Revenue).
nb.CashRatioλ,Ratios,"CashRatioλ( Cash, Liabilities)",Evaluates ability to repay short-term debt w/cash or near-cash resources _x000a_    (Cash and Cash Equivalents / Current Liabilities)
nb.CorkScrewReversalλ,Financial,"CorkScrewReversalλ( Opening, ReversalFlags, Flow1, [Flow2], [Flow3], [Flow4])",Create a corkscrew where the opening balance is reversed in the next period based on a timing parameter.
nb.Corkscrewλ,Financial,"Corkscrewλ( Opening, Flow1, [Flow2], [Flow3], [Flow4])",Create a corkscrew section that sums the opening balance and up to 4 independent flows.
nb.CorkscrewλDV,Financial,CorkscrewλDV,Provides extended data validation of arguments for Depreciateλ.
nb.CountAColsUλ,Utilities,CountAColsUλ( Array ),Count everything in each row
nb.CountAColsλ,Essentials,CountAColsλ( Array ),Count everything in each row
nb.CountARowsUλ,Utilities,CountARowsUλ( Array),Count everything in each row
nb.CountARowsλ,Essentials,CountARowsλ( Array),Count everything in each row
nb.CountCUλ,Utilities,"CountCUλ( Text, Characters)",Count occurrences of character(s) in a string
nb.CountColsUλ,Utilities,"CountColsUλ( Array,)",Count numbers in each row
nb.CountColsλ,Essentials,"CountColsλ( Array,)",Count numbers in each row
nb.CountCλ,Essentials,"CountCλ( Text, Characters)",Count occurrences of character(s) in a string
